pl_name,hostname,pl_rade,ra
Kepler-796 b,Kepler-796,1.3,287.3078999
Kepler-804 b,Kepler-804,1.94,293.3722109
Kepler-822 b,Kepler-822,1.77,292.2760929
Kepler-823 b,Kepler-823,1.57,284.5825682
Kepler-828 b,Kepler-828,1.51,286.8872555
Kepler-829 b,Kepler-829,2.11,282.3328312
Kepler-844 b,Kepler-844,1.68,287.8578541
Kepler-849 b,Kepler-849,8.08167508,290.8517961
Kepler-850 b,Kepler-850,1.78,293.0844515
Kepler-853 b,Kepler-853,1.69,283.936781
Kepler-862 b,Kepler-862,2.21,297.7792466
Kepler-864 c,Kepler-864,1.62,285.0570943
Kepler-865 b,Kepler-865,2.49,297.7242257
Kepler-87 c,Kepler-87,6.14,297.9168433
Kepler-874 b,Kepler-874,3.94,294.9568477
Kepler-887 c,Kepler-887,1.13,290.0907893
Kepler-894 b,Kepler-894,2.78,288.7340513
Kepler-899 b,Kepler-899,2.68,297.4825612
Kepler-919 b,Kepler-919,2.25,298.1147862
Kepler-93 c,Kepler-93,,291.4181275
Kepler-935 b,Kepler-935,1.35,295.0217193
Kepler-938 b,Kepler-938,2.22,294.7890593
Kepler-950 b,Kepler-950,8.98,287.9565768
Kepler-952 b,Kepler-952,7.65,285.3718781
Kepler-965 b,Kepler-965,3.38,298.5153169
Kepler-968 c,Kepler-968,1.69,285.6025889
Kepler-969 b,Kepler-969,2.07,288.3724989
Kepler-972 b,Kepler-972,4.65,295.828679
Kepler-98 b,Kepler-98,1.99,285.6616933
Kepler-988 b,Kepler-988,2.07,290.7082585
Kepler-991 b,Kepler-991,2.54,297.0905543
Kepler-998 b,Kepler-998,2.32,296.7541629
Kepler-999 b,Kepler-999,2.34,299.6604865
L 98-59 e,L 98-59,1.49,124.5328604
L 98-59 f,L 98-59,1.48,124.5328604
LHS 1140 b,LHS 1140,1.73,11.248632
LSPM J2116+0234 b,LSPM J2116+0234,3.71,319.1147513
LTT 3780 c,LTT 3780,2.39,154.6449033
MASCARA-4 b,MASCARA-4,16.98160576,147.5800667
MOA-2010-BLG-328L b,MOA-2010-BLG-328L,2.99,269.496333
MOA-2010-BLG-477L b,MOA-2010-BLG-477L,13.6,271.531006
MOA-2012-BLG-006L b,MOA-2012-BLG-006L,12.6,270.442963
MOA-2022-BLG-563L b,MOA-2022-BLG-563L,14.0,270.3002083
NGC 2682 YBP 1514 b,NGC 2682 YBP 1514,14.0,132.7531307
NGTS-10 b,NGTS-10,13.506845,91.8722801
NGTS-16 b,NGTS-16,14.57167491,58.2639299
NGTS-26 b,NGTS-26,14.88552637,217.6832961
NN Ser d,NN Ser,13.3,238.2337015
OGLE-2005-BLG-390L b,OGLE-2005-BLG-390L,2.21,268.579958
OGLE-2011-BLG-0173L b,OGLE-2011-BLG-0173L,9.01,269.315735
OGLE-2012-BLG-0724L b,OGLE-2012-BLG-0724L,14.3,268.9682917
OGLE-2014-BLG-0319L b,OGLE-2014-BLG-0319L,14.1,266.9611667
OGLE-2015-BLG-1670L b,OGLE-2015-BLG-1670L,4.42,268.1587917
OGLE-2016-BLG-1190L b,OGLE-2016-BLG-1190L,12.3,269.717926
OGLE-2016-BLG-1266L b,OGLE-2016-BLG-1266L,12.4,267.8535833
OGLE-2017-BLG-1049L b,OGLE-2017-BLG-1049L,12.8,269.533542
OGLE-2018-BLG-0799L b,OGLE-2018-BLG-0799L,10.9,273.459
OGLE-2018-BLG-0962L b,OGLE-2018-BLG-0962L,13.6,268.1747917
OGLE-2018-BLG-1700L b,OGLE-2018-BLG-1700L,12.9,269.956042
OGLE-2019-BLG-1470L AB c,OGLE-2019-BLG-1470L A,13.3,271.9492083
OGLE-TR-182 b,OGLE-TR-182,12.666,167.3279228
OGLE-TR-211 b,OGLE-TR-211,15.244,160.0598236
PH1 b,PH1,6.18,298.2150641
PH2 b,PH2,9.33708092,289.7636212
PSR B0329+54 b,PSR B0329+54,1.22,53.2472749
PSR J1719-1438 b,PSR J1719-1438,,259.7919708
Ross 508 b,Ross 508,1.83,230.9613022
TIC 393818343 b,TIC 393818343,12.18416202,310.2917002
TIC 46432937 b,TIC 46432937,13.31626907,83.8689794
TIC 4672985 b,TIC 4672985,11.5004142,38.4706782
TOI-1011 b,TOI-1011,1.45,113.9847611
TOI-1064 b,TOI-1064,2.587,296.0039349
TOI-1075 b,TOI-1075,1.791,309.9712091
TOI-1135 b,TOI-1135,9.34085,193.3963704
TOI-1174 b,TOI-1174,2.562,209.2171751
TOI-1201 b,TOI-1201,2.415,42.2476999
TOI-1235 b,TOI-1235,1.69,152.2182549
TOI-1246 e,TOI-1246,3.5141875,251.1158702
TOI-125 c,TOI-125,2.759,23.5934253
TOI-1338 b,TOI-1338 A,7.661,92.1330955
TOI-1338 c,TOI-1338 A,10.3,92.1330955
TOI-1411 b,TOI-1411,1.19880592,232.946047
TOI-1420 b,TOI-1420,11.89,322.9418092
TOI-1438 b,TOI-1438,3.04,280.9237844
TOI-1467 b,TOI-1467,1.92,19.1146441
TOI-1468 b,TOI-1468,1.401,16.6538724
TOI-1601 b,TOI-1601,14.19902343,38.361569
TOI-1659.01,TOI-1659,2.255,277.9251938
TOI-1736 b,TOI-1736,3.18175535,43.4344615
TOI-1742 b,TOI-1742,2.36507598,257.3288678
TOI-178 b,TOI-178,1.2,7.3020115
TOI-178 f,TOI-178,2.417,7.3020115
TOI-1794 b,TOI-1794,3.29701268,203.3974857
TOI-1798.01,TOI-1798,2.448,211.0939367
TOI-1806.01,TOI-1806,3.4095367,166.1181474
TOI-181 b,TOI-181,6.9559,352.1725409
TOI-2019 b,TOI-2019,5.33275337,234.4317651
TOI-2048 b,TOI-2048,2.61,237.9241066
TOI-206 b,TOI-206,1.3,73.7382202
TOI-2076 c,TOI-2076,3.69441587,217.3920159
TOI-2095 c,TOI-2095,1.33,285.6365235
TOI-2193 A b,TOI-2193 A,19.83989584,313.691232
TOI-2295 c,TOI-2295,12.8,281.5761962
TOI-2322 b,TOI-2322,0.994,116.9731027
TOI-2328 b,TOI-2328,9.97599282,31.6907424
TOI-2364 b,TOI-2364,8.60849718,89.1300265
TOI-2368 b,TOI-2368,10.83908434,134.9576234
TOI-2420 b,TOI-2420,15.02003414,14.8268138
TOI-2427 b,TOI-2427,1.8,52.2917315
TOI-2498 b,TOI-2498,6.06,95.4162204
TOI-2589 b,TOI-2589,12.10569916,107.4881501
TOI-260 b,TOI-260,1.71,4.7730178
TOI-261.01,TOI-261,3.0449863,15.2181412
TOI-261.02,TOI-261,3.34822227,15.2181412
TOI-2719 b,TOI-2719,5.98,71.5549449
TOI-2768 b,TOI-2768,2.63,99.3641336
TOI-2796 b,TOI-2796,17.26183028,84.1527191
TOI-2803 A b,TOI-2803 A,18.11371281,93.1147397
TOI-286 b,TOI-286,1.42,90.9842762
TOI-286 c,TOI-286,1.88,90.9842762
TOI-2977 b,TOI-2977,13.15934334,143.9265177
TOI-2986 b,TOI-2986,9.292245,163.7715605
TOI-3362 b,TOI-3362,12.80065596,155.9841428
TOI-3474 b,TOI-3474,14.67255574,233.5033482
TOI-3486 b,TOI-3486,10.5700688,249.4432035
TOI-3856 b,TOI-3856,13.59649359,145.2229223
TOI-3912 b,TOI-3912,14.28024141,215.8014956
TOI-4010 e,TOI-4010,13.3,20.2148196
TOI-4137 b,TOI-4137,13.57407563,77.612879
TOI-421 b,TOI-421,2.64,81.8532824
TOI-431 b,TOI-431,1.28,83.2692502
TOI-431 d,TOI-431,3.29,83.2692502
TOI-4336 A b,TOI-4336 A,2.12,206.1070129
TOI-4438 b,TOI-4438,2.52,270.3172389
TOI-4463 A b,TOI-4463 A,13.26022417,279.3581286
TOI-4495 b,TOI-4495,2.483,286.3624951
TOI-4504 c,TOI-4504,11.09689089,114.4673065
TOI-4507 b,TOI-4507,8.2,80.4513677
TOI-451 b,TOI-451,1.91,62.966385
TOI-451 c,TOI-451,3.1,62.966385
TOI-4914 b,TOI-4914,12.87,204.5426717
TOI-5108 b,TOI-5108,6.6,166.2695041
TOI-530 b,TOI-530,9.30345398,103.4128333
TOI-532 b,TOI-532,5.82,85.0800537
TOI-5616 b,TOI-5616,10.78,184.9016378
TOI-564 b,TOI-564,11.43318,130.2951535
TOI-5789 e,TOI-5789,3.43,302.7734475
TOI-5795 b,TOI-5795,5.62,304.868782
TOI-5800 b,TOI-5800,2.46,305.0655462
TOI-6041 c,TOI-6041,10.5,46.0610334
TOI-6086 b,TOI-6086,1.18,265.3704236
TOI-6303 b,TOI-6303,11.59,46.7806502
TOI-7149 b,TOI-7149,13.2,244.7384657
TOI-762 A b,TOI-762 A,8.33948164,166.0747423
TOI-763 c,TOI-763,2.63,194.468098
TOI-776 b,TOI-776,1.798,178.577997
TOI-815 c,TOI-815,2.62,155.8719377
TOI-836 b,TOI-836,1.704,225.0798831
TOI-912 b,TOI-912,1.93,229.3285665
TRAPPIST-1 e,TRAPPIST-1,0.92,346.6263919
TYC 4282-00605-1 b,TYC 4282-00605-1,12.4,343.8721029
TYC 8998-760-1 c,TYC 8998-760-1,12.3299,201.3001096
UCAC3 113-933 b,UCAC3 113-933,12.1,5.2758121
V830 Tau b,V830 Tau,14.0,68.2918259
WASP-129 b,WASP-129,10.42437,176.2990518
WASP-14 b,WASP-14,15.46842,218.2766247
WASP-156 b,WASP-156,6.02802815,32.782085
WASP-164 b,WASP-164,12.643752,344.8735878
WASP-166 b,WASP-166,7.06167,144.8751047
WASP-168 b,WASP-168,16.8135,96.7446427
WASP-171 b,WASP-171,10.98482,171.8450533
WASP-178 b,WASP-178,20.28829,227.270329
WASP-183 b,WASP-183,16.47723,163.7888521
WASP-188 b,WASP-188,14.81827249,278.7819771
WASP-31 b,WASP-31,17.363,169.4388603
WASP-63 b,WASP-63,15.80469,94.3363562
WASP-71 b,WASP-71,13.22662,29.2634506
WASP-78 b,WASP-78,21.63337,63.7562662
WASP-79 b,WASP-79,17.14974047,66.3709016
WASP-8 b,WASP-8,12.66617,359.9008737
WASP-82 b,WASP-82,18.15858,72.6605916
WASP-83 b,WASP-83,11.65736,190.1519558
WASP-87 b,WASP-87,15.524465,185.3246821
WTS-2 b,WTS-2,15.277867,293.7327826
kap And b,kap And,12.3,355.1025974
nu Oph b,nu Oph,12.0,269.7566013
rho CrB c,rho CrB,5.78,240.2600639
17 Sco b,17 Sco,12.9,243.4620874
2MASS J01225093-2439505 b,2MASS J01225093-2439505,11.209,20.7128012
2MASS J0249-0557 c,2MASS J0249-0557 A,12.4,42.4851627
2MASS J22362452+4751425 b,2MASS J22362452+4751425,12.3,339.1025931
51 Peg b,51 Peg,14.3,344.3675399
81 Cet b,81 Cet,13.1,39.4243555
91 Aqr b,91 Aqr,13.1,348.9745031
BD+20 2457 c,BD+20 2457,12.4,154.186782
BD-11 4672 c,BD-11 4672,4.04,278.3688659
BD-13 2130 b,BD-13 2130,12.5,114.2884692
CT Cha b,CT Cha,24.66,166.0375038
CoRoT-1 b,CoRoT-1,16.7,102.0798591
CoRoT-14 b,CoRoT-14,12.22,103.4242023
CoRoT-16 b,CoRoT-16,13.11,278.5246658
CoRoT-17 b,CoRoT-17,11.43,278.699236
CoRoT-23 b,CoRoT-23,11.77,279.7826586
CoRoT-24 c,CoRoT-24,5.0,101.922543
CoRoT-30 b,CoRoT-30,11.309881,277.6011767
CoRoT-32 b,CoRoT-32,6.38913,100.1951714
CoRoT-8 b,CoRoT-8,6.39,291.5885696
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,11.9,125.7620668
DMPP-2 b,DMPP-2,14.3,27.407731
EPIC 201841433 b,EPIC 201841433,1.04,175.206752
EPIC 205950854 c,K2-168,1.31,333.1100738
EPIC 212297394 c,EPIC 212297394,2.27,207.2061241
EPIC 212587672 c,EPIC 212587672,2.32,205.4445125
EPIC 246851721 b,EPIC 246851721,11.780659,78.9198197
EPIC 248847494 b,EPIC 248847494,12.44199,159.3890808
G 264-012 b,G 264-012,1.39,326.6719598
GJ 1151 c,GJ 1151,3.25,177.7304866
GJ 1265 b,GJ 1265,2.63,333.4324675
GJ 1289 b,GJ 1289,2.38,355.7813464
GJ 180 b,GJ 180,2.43,73.460097
GJ 229 A c,GJ 229,2.87,92.6435993
GJ 3138 b,GJ 3138,1.18,32.2977385
GJ 3222 b,GJ 3222,3.4,50.8972464
GJ 3293 b,GJ 3293,5.19,67.1484425
GJ 3341 b,GJ 3341,2.46,78.9471415
GJ 3942 b,GJ 3942,2.57,242.2645452
GJ 504 b,GJ 504,12.10569916,199.192348
GJ 514 b,GJ 514,2.13,202.5040424
GJ 667 C e,GJ 667 C,1.45,259.7510609
GJ 667 C f,GJ 667 C,1.45,259.7510609
GJ 676 A c,GJ 676 A,12.3,262.5448903
GSC 06214-00210 b,GSC 06214-00210,20.1762,245.4776921
HAT-P-13 c,HAT-P-13,12.3,129.8823772
HAT-P-17 b,HAT-P-17,11.76945,324.5359781
HAT-P-23 b,HAT-P-23,15.334,306.1239076
HAT-P-43 b,HAT-P-43,13.63,128.9256885
HAT-P-50 b,HAT-P-50,14.437192,118.0634379
HAT-P-55 b,HAT-P-55,14.84069045,264.2735096
HAT-P-61 b,HAT-P-61,10.07687365,75.4801665
HAT-P-65 b,HAT-P-65,18.05766791,315.9054895
HATS-12 b,HATS-12,7.76,289.202402
HATS-13 b,HATS-13,13.585308,316.9614798
HATS-3 b,HATS-3,15.48,312.4574879
HATS-31 b,HATS-31,18.38276,191.7028214
HATS-32 b,HATS-32,14.000041,346.0750861
HATS-36 b,HATS-36,12.92,291.4787013
HATS-51 b,HATS-51,15.80469,102.8474248
HATS-56 b,HATS-56,18.920792,180.165072
HATS-65 b,HATS-65,16.824709,292.9397825
HATS-71 b,HATS-71,11.478016,15.5518893
HATS-72 b,HATS-72,8.0973816,339.0258401
HATS-74 A b,HATS-74 A,11.56766808,171.0147921
HD 102843 b,HD 102843,13.1,177.5854673
HD 103197 b,HD 103197,5.83,178.2201971
HD 106270 b,HD 106270,12.4,183.4049258
HD 109271 b,HD 109271,4.31,188.397397
HD 109286 b,HD 109286,13.2,188.3958418
HD 109749 b,HD 109749,11.1,189.3173489
HD 110014 b,HD 110014,12.4,189.8111935
HD 110067 e,HD 110067,1.94,189.8392243
HD 110082 b,HD 110082,3.2,192.5892855
HD 11505 b,HD 11505,12.6,28.2750265
HD 115404 A c,HD 115404 A,12.5,199.2155793
HD 116029 b,HD 116029,13.6,200.1646905
HD 116029 c,HD 116029,13.7,200.1646905
HD 117207 b,HD 117207,13.4,202.3368806
HD 122562 c,HD 122562,10.1,210.5886904
HD 125595 b,HD 125595,,215.3434326
HD 12661 b,HD 12661,13.3,31.1423525
HD 128311 b,HD 128311,13.5,219.0032292
HD 129445 b,HD 129445,13.3,221.5104196
HD 133131 A c,HD 133131 A,14.3,225.8984524
HD 134606 c,HD 134606,3.37,228.8103897
HD 134606 f,HD 134606,2.24,228.8103897
HD 141004 b,HD 141004,3.77,236.6099205
HD 142 A d,HD 142,10.9,1.5836771
HD 143105 b,HD 143105,13.7,238.4023547
HD 148164 c,HD 148164,12.8,246.4351678
HD 152843 c,HD 152843,5.94,253.7848853
HD 155358 b,HD 155358,13.8,257.3930947
HD 155918 b,HD 155918,2.67,260.5364025
HD 156668 b,HD 156668,1.87,259.4183491
HD 158038 b,HD 158038,13.5,261.4395312
HD 158259 b,HD 158259,1.28228,261.3495847
HD 15906 c,HD 15906,2.93,38.2712534
HD 159243 b,HD 159243,13.7,263.3395365
HD 1605 c,HD 1605,13.0,5.1317548
HD 168009 b,HD 168009,3.05,273.8847918
HD 16905 b,HD 16905,12.4,40.0136203
HD 169142 b,HD 169142,13.1,276.1240717
HD 171028 b,HD 171028,13.2,278.0643694
HD 175167 b,HD 175167,12.3,285.0033888
HD 18143 c,HD 18143,12.5,43.9140248
HD 184010 d,HD 184010,14.3,292.8401421
HD 185283 b,HD 185283,13.6,295.3233609
HD 18742 b,HD 18742,13.1,45.0443115
HD 190984 b,HD 190984,13.0,302.8779827
HD 20003 c,HD 20003,3.89,46.9090081
HD 202696 b,HD 202696,,319.2250346
HD 204313 b,HD 204313,12.9,322.0510568
HD 210702 b,HD 210702,13.6,332.9638643
HD 212301 b,HD 212301,14.2,336.8803957
HD 213885 b,HD 213885,1.745,338.9837166
HD 215152 c,HD 215152,,340.8380941
HD 216520 b,HD 216520,3.18,341.8768719
HD 220074 b,HD 220074,12.2,350.0599827
HD 220689 b,HD 220689,13.7,351.4707282
HD 220842 b,HD 220842,13.1,351.6534162
HD 221416 b,HD 221416,9.17,353.0331863
HD 22532 b,HD 22532,13.4,53.8148478
HD 233604 b,HD 233604,12.7,137.4535054
HD 23472 b,HD 23472,2.0,55.4590314
HD 23472 c,HD 23472,1.87,55.4590314
HD 2685 b,HD 2685,16.14096,7.3289156
HD 27442 b,HD 27442,13.5,64.1205476
HD 27894 b,HD 27894,14.1,65.1975693
HD 28254 b,HD 28254,13.0,66.2108141
HD 284149 AB b,HD 284149 A,12.0,61.6616887
HD 2952 b,HD 2952,13.9,8.2938367
HD 30562 b,HD 30562,13.6,72.1529519
HD 3167 e,HD 3167,2.83,8.7401487
HD 32963 b,HD 32963,13.4,76.9820146
HD 330075 b,HD 330075,14.3,237.4054997
HD 33142 b,HD 33142,13.7,76.8980559
HD 33564 b,HD 33564,12.5,80.6378979
HD 34445 d,HD 34445,6.07,79.4207483
HD 34445 f,HD 34445,6.88,79.4207483
HD 36384 b,HD 36384,12.7,84.9319998
HD 40307 c,HD 40307,,88.5172191
HD 40307 d,HD 40307,,88.5172191
HD 47366 c,HD 47366,13.5,99.4200181
HD 48948 d,HD 48948,3.24,102.489811
HD 50554 b,HD 50554,12.8,103.678273
HD 60532 b,HD 60532,13.8,113.5130656
HD 62364 c,HD 62364,12.0,113.9052658
HD 63433 d,HD 63433,1.073,117.4793699
HD 63935 b,HD 63935,2.91575244,117.9246417
HD 65216 b,HD 65216,13.6,118.4209646
HD 70573 b,HD 70573,12.8,125.7079153
HD 72892 b,HD 72892,12.8,128.7195554
HD 73583 c,HD 73583,2.39,129.6883026
HD 77338 b,HD 77338,4.12,135.3022475
HD 77946 b,HD 77946,2.89646124,136.777644
HD 81817 b,HD 81817,12.0,144.2715659
HD 8535 b,HD 8535,14.0,20.9054804
HD 8673 b,HD 8673,12.3,21.5378455
HD 87816 c,HD 87816,12.4,151.5296524
HD 88133 b,HD 88133,13.8,152.5319349
HD 89345 b,HD 89345,7.39794,154.6710977
HD 90156 b,HD 90156,4.43,155.9801144
HD 93385 b,HD 93385,1.88,161.5627065
HD 93385 d,HD 93385,2.89,161.5627065
HD 93963 A c,HD 93963 A,3.11976057,162.7766969
HD 94771 b,HD 94771,14.2,163.9746776
HD 95089 c,HD 95089,13.1,164.698748
HD 95544 b,HD 95544,12.8,166.3231784
HD 96700 b,HD 96700,2.93,166.9742616
HIP 54373 b,HIP 54373,2.87,166.8643532
HIP 65426 b,HIP 65426,16.8135,201.1501727
HIP 65891 b,HIP 65891,12.8,202.6050857
HIP 67522 c,HIP 67522,7.93595834,207.526001
HIP 8541 b,HIP 8541,12.6,27.5271962
HIP 9618 b,HIP 9618,3.82838127,30.9050061
HIP 9618 c,HIP 9618,3.42855926,30.9050061
HR 858 d,HR 858,2.001,42.9849779
HR 8799 c,HR 8799,13.0,346.8701486
HR 8799 e,HR 8799,13.11453,346.8701486
HS Psc b,HS Psc,13.6,24.347379
HU Aqr AB b,HU Aqr,12.8,316.9921976
IC 4651 9122 b,IC 4651 9122,12.7,261.2086139
K2-105 b,K2-105,3.4,125.4202985
K2-111 b,K2-111,1.82,59.8903081
K2-117 b,K2-117,2.03,133.8557342
K2-138 f,K2-138,2.904,348.9490311
K2-148 d,K2-148,1.64,14.5176494
K2-149 b,K2-149,1.64,9.8217519
K2-155 b,K2-155,1.8,65.469614
K2-156 b,K2-156,1.1,182.699673
K2-161 b,K2-161,6.11721229,183.7938491
K2-163 b,K2-163,2.46610713,182.3292517
K2-164 b,K2-164,3.24925008,171.933659
K2-169 b,K2-169,1.27328671,337.0442461
K2-175 b,K2-175,2.03803688,52.5035514
K2-180 b,K2-180,2.46597575,126.4643579
K2-183 c,K2-183,2.3,125.007177
K2-19 c,K2-19,4.1,174.9602543
K2-196 b,K2-196,3.59970536,200.4562487
K2-203 b,K2-203,1.26549392,12.7736909
K2-21 b,K2-21,1.84,340.3037846
K2-214 b,K2-214,2.51,14.8759777
K2-216 b,K2-216,1.75,11.4802354
K2-224 b,K2-224,1.56,189.7041426
K2-229 c,K2-229,2.03,186.8729195
K2-246 b,K2-246,3.49,181.6296115
K2-251 b,K2-251,2.35,190.6892403
K2-259 b,K2-259,2.32,186.8026947
K2-272 b,K2-272,3.13,132.6211743
K2-280 b,K2-280,7.5,291.5953596
K2-29 b,K2-29,13.33871,62.670422
K2-294 b,K2-294,1.66,352.0516724
K2-318 b,K2-318,1.66,232.4461375
K2-321 b,K2-321,2.05124347,156.4054989
K2-323 b,K2-323,2.1,159.4209874
K2-329 b,K2-329,8.675766,351.1353785
K2-331 c,K2-331,2.72,132.7376431
K2-340 b,K2-340,3.36,127.9373409
K2-371 b,K2-371,13.024,128.0670932
K2-374 b,K2-374,1.593,137.3794986
K2-38 b,K2-38,1.54,240.0333095
K2-384 c,K2-384,1.191,20.4998403
K2-385 b,K2-385,1.539,12.6140752
K2-398 c,K2-398,5.098,161.7349738
K2-4 b,K2-4,2.1,174.7455392
K2-406 b,K2-406,4.602,230.8872242
K2-413 c,K2-413,1.2327,353.4175668
K2-414 b,K2-414,1.219,351.6361913
K2-417 b,K2-417,3.31,350.1417675
K2-48 b,K2-48,2.24,176.1233077
K2-58 c,K2-58,1.62,333.8218395
K2-59 c,K2-59,2.3,338.94255
K2-72 c,K2-72,1.16,334.6227504
K2-98 b,K2-98,5.06645928,126.4882114
KELT-16 b,KELT-16,15.860735,314.2685227
KELT-3 b,KELT-3,17.48604,148.6431193
KIC 10001893 d,KIC 10001893,,287.3892308
KIC 10068024 b,KIC 10068024,13.4,288.8470423
KMT-2017-BLG-1038L b,KMT-2017-BLG-1038L,13.4,266.170917
KMT-2017-BLG-1146L b,KMT-2017-BLG-1146L,14.0,269.105833
KMT-2017-BLG-1194L b,KMT-2017-BLG-1194L,1.7,274.322125
KMT-2017-BLG-2331L b,KMT-2017-BLG-2331L,14.2,264.4072083
KMT-2018-BLG-1292L b,KMT-2018-BLG-1292L,12.9,263.427583
KMT-2019-BLG-1216L b,KMT-2019-BLG-1216L,5.98,268.480625
KMT-2019-BLG-1552L b,KMT-2019-BLG-1552L,13.0,269.5957917
KMT-2019-BLG-1953L b,KMT-2019-BLG-1953L,14.1,269.11625
KMT-2020-BLG-0414L b,KMT-2020-BLG-0414L,1.2,271.915
KMT-2021-BLG-0171L b,KMT-2021-BLG-0171L,3.35,269.2416667
KMT-2021-BLG-0322L b,KMT-2021-BLG-0322L,12.7,270.9116667
KMT-2021-BLG-0912L b,KMT-2021-BLG-0912L,1.49,269.8211667
KMT-2021-BLG-1770L b,KMT-2021-BLG-1770L,12.1,270.4399583
KMT-2021-BLG-2010L b,KMT-2021-BLG-2010L,13.8,268.0085
KMT-2023-BLG-0735L b,KMT-2023-BLG-0735L,6.97,267.5759583
KMT-2024-BLG-0404L c,KMT-2024-BLG-0404L,4.33,271.1470833
KMT-2025-BLG-1616L b,KMT-2025-BLG-1616L,7.34,267.778875
KOBE-1 c,KOBE-1,3.56,19.1660378
KOI-3503 b,KOI-3503,1.19,293.1507654
KOI-351 b,KOI-351,1.31,284.4334642
KOI-55 c,KOI-55,0.867,296.3561853
Kepler-1002 b,Kepler-1002,1.71,293.0794629
Kepler-1012 b,Kepler-1012,1.29,289.2962253
Kepler-1014 b,Kepler-1014,2.39,285.1219875
Kepler-1017 b,Kepler-1017,1.99,283.469299
Kepler-102 b,Kepler-102,0.46,281.4824731
Kepler-1026 b,Kepler-1026,2.21,283.6053012
Kepler-103 c,Kepler-103,5.4539,288.9845512
Kepler-1038 c,Kepler-1038,1.4162338,298.9721472
Kepler-1044 b,Kepler-1044,2.67,293.1444017
Kepler-105 b,Kepler-105,2.53,287.8872376
Kepler-1052 b,Kepler-1052,2.93,295.34273
Kepler-106 b,Kepler-106,0.82,300.864006
Kepler-1064 b,Kepler-1064,1.55,291.7415821
Kepler-1065 b,Kepler-1065,3.73,294.511319
Kepler-1068 b,Kepler-1068,3.63,294.6481708
Kepler-1071 b,Kepler-1071,2.38,293.0579794
Kepler-1079 b,Kepler-1079,1.63,299.5495794
Kepler-1082 b,Kepler-1082,1.12,289.3586737
Kepler-1083 b,Kepler-1083,3.36,283.1618831
Kepler-1088 b,Kepler-1088,1.42,281.5614578
Kepler-109 c,Kepler-109,2.65,290.3926795
Kepler-1098 b,Kepler-1098,1.3,295.502673
Kepler-1117 b,Kepler-1117,1.11,292.0847866
Kepler-1127 b,Kepler-1127,1.96,293.2173563
Kepler-1129 b,Kepler-1129,2.96,291.6044965
Kepler-1130 c,Kepler-1130,0.79239584,285.207421
Kepler-1135 b,Kepler-1135,1.85,286.0029904
Kepler-1144 b,Kepler-1144,1.99,290.0432936
Kepler-1157 b,Kepler-1157,1.09,283.1209268
Kepler-116 b,Kepler-116,3.42,294.7420605
Kepler-1160 b,Kepler-1160,2.14,287.8793899
Kepler-1164 b,Kepler-1164,1.12,287.5296372
Kepler-1176 b,Kepler-1176,2.45,297.919724
Kepler-1201 b,Kepler-1201,2.29,294.6147908
Kepler-1208 b,Kepler-1208,2.32,291.8812445
Kepler-121 c,Kepler-121,2.27,286.1621273
Kepler-1212 b,Kepler-1212,2.14,296.8534096
Kepler-1217 b,Kepler-1217,1.99,289.1866841
Kepler-1223 b,Kepler-1223,1.22,285.2956462
Kepler-1243 b,Kepler-1243,1.75,294.009397
Kepler-1254 c,Kepler-1254,1.3,285.1733174
Kepler-1256 b,Kepler-1256,1.49,291.4742443
Kepler-1263 b,Kepler-1263,1.14,286.483626
Kepler-1265 b,Kepler-1265,1.35,284.5858364
Kepler-1279 b,Kepler-1279,1.75,288.0955917
Kepler-1281 b,Kepler-1281,1.64,295.3543571
Kepler-129 d,Kepler-129,12.6,285.3111845
Kepler-1292 b,Kepler-1292,1.82,284.9057222
Kepler-130 c,Kepler-130,2.9,288.4505905
Kepler-1300 b,Kepler-1300,1.37,289.0330532
Kepler-1304 b,Kepler-1304,2.29,285.2763652
Kepler-1305 b,Kepler-1305,1.88,297.3394624
Kepler-1306 b,Kepler-1306,1.91,294.4783627
Kepler-1308 b,Kepler-1308,0.52,285.9287514
Kepler-1309 b,Kepler-1309,2.37,298.7351131
Kepler-1313 b,Kepler-1313,1.76,292.388582
Kepler-1314 b,Kepler-1314,5.11,294.2373599
Kepler-1323 b,Kepler-1323,1.52,292.8722515
Kepler-1357 b,Kepler-1357,1.28,291.5480665
Kepler-1359 b,Kepler-1359,2.83,289.538818
Kepler-1364 b,Kepler-1364,2.15,295.1521334
Kepler-1365 c,Kepler-1365,0.8,292.1996573
Kepler-1368 b,Kepler-1368,1.65,294.7669795
Kepler-1371 c,Kepler-1371,0.64,288.8314251
Kepler-1373 b,Kepler-1373,1.16,285.7520229
Kepler-138 e,Kepler-138,0.797,290.3814122
Kepler-1381 b,Kepler-1381,2.25,287.5357911
Kepler-1384 b,Kepler-1384,1.94,296.2151275
Kepler-1388 d,Kepler-1388,2.86,283.3360156
Kepler-1391 b,Kepler-1391,1.68,294.8309749
Kepler-14 b,Kepler-14,12.733,287.708814
Kepler-1405 b,Kepler-1405,3.96,295.6848822
Kepler-1409 b,Kepler-1409,1.04,290.0847389
Kepler-1410 b,Kepler-1410,1.78,290.5102933
Kepler-1411 b,Kepler-1411,2.82,286.3615236
Kepler-1415 b,Kepler-1415,1.29,285.1568015
